,source,target
0,0,95
1,0,69
2,0,103
3,0,94
4,0,99
5,0,97
6,0,96
7,0,125
8,0,62
9,0,93
10,0,92
11,0,3
12,0,91
13,0,6
14,0,90
15,0,126
16,0,89
17,0,88
18,0,87
19,0,86
20,0,127
21,1,85
22,1,84
23,1,83
24,1,82
25,1,81
26,1,80
27,1,128
28,1,129
29,2,79
30,2,130
31,2,78
32,2,131
33,2,77
34,2,76
35,2,75
36,2,74
37,2,73
38,2,72
39,2,71
40,2,132
41,2,70
42,2,69
43,2,68
44,2,67
45,2,133
46,2,66
47,2,65
48,2,64
49,2,63
50,2,62
51,2,61
52,2,60
53,2,58
54,2,134
55,2,57
56,2,56
57,2,55
58,2,54
59,2,53
60,2,135
61,2,136
62,2,52
63,2,51
64,2,48
65,2,47
66,2,46
67,2,45
68,2,43
69,2,137
70,2,23
71,2,22
72,2,21
73,2,20
74,2,18
75,3,17
76,3,138
77,3,16
78,3,15
79,3,14
80,3,13
81,3,12
82,3,139
83,3,11
84,3,10
85,3,9
86,3,8
87,3,7
88,3,6
89,3,140
90,3,141
91,3,142
92,3,5
93,3,4
94,4,64
95,4,143
96,4,144
97,4,145
98,4,8
99,4,146
100,4,147
101,5,148
102,5,149
103,5,150
104,5,151
105,5,152
106,5,153
107,5,154
108,5,155
109,5,156
110,5,157
111,5,158
112,5,159
113,5,160
114,5,161
115,5,162
116,5,163
117,5,164
118,5,165
119,5,166
120,5,167
121,5,168
122,5,169
123,5,170
124,5,171
125,5,172
126,5,173
127,5,174
128,5,175
129,5,176
130,5,177
131,5,178
132,5,179
133,5,180
134,5,181
135,5,182
136,5,183
137,6,184
138,6,185
139,6,186
140,6,3
141,6,77
142,6,187
143,6,188
144,6,189
145,6,190
146,6,191
147,6,192
148,6,193
149,6,10
150,6,194
151,6,195
152,6,196
153,6,197
154,6,198
155,6,199
156,6,200
157,6,89
158,6,201
159,6,202
160,6,87
161,6,86
162,6,95
163,6,203
164,6,204
165,7,205
166,7,206
167,7,207
168,7,208
169,7,209
170,7,210
171,7,211
172,7,212
173,7,213
174,7,214
175,7,215
176,8,104
177,8,50
178,8,102
179,8,101
180,8,100
181,8,216
182,9,3
183,9,217
184,10,218
185,10,219
186,10,220
187,10,221
188,10,222
189,10,223
190,10,224
191,10,225
192,10,226
193,10,227
194,10,228
195,10,229
196,10,230
197,10,231
198,10,232
199,10,233
200,10,234
201,10,235
202,10,236
203,10,213
204,10,237
205,11,193
206,11,10
207,11,62
208,11,60
209,11,238
210,12,239
211,12,240
212,12,241
213,12,242
214,12,243
215,12,244
216,12,245
217,12,246
218,12,247
219,12,248
220,12,249
221,12,250
222,12,251
223,13,17
224,13,252
225,13,253
226,13,139
227,13,254
228,13,255
229,13,60
230,13,256
231,13,257
232,13,258
233,13,259
234,13,260
235,13,261
236,14,262
237,14,263
238,14,264
239,14,265
240,14,266
241,14,267
242,14,268
243,14,269
244,14,270
245,15,271
246,15,272
247,15,273
248,15,274
249,15,275
250,15,13
251,15,276
252,16,277
253,16,3
254,16,278
255,16,279
256,16,280
257,16,281
258,16,282
259,16,283
260,16,284
261,17,285
262,17,286
263,17,287
264,17,288
265,17,289
266,17,290
267,17,291
268,17,252
269,17,292
270,17,238
271,17,293
272,17,294
273,17,295
274,17,296
275,17,297
276,17,298
277,18,67
278,18,137
279,19,59
280,19,49
281,19,50
282,19,44
283,19,42
284,19,41
285,19,38
286,19,39
287,19,40
288,19,299
289,19,300
290,19,35
291,19,37
292,19,36
293,19,34
294,19,32
295,19,33
296,19,31
297,19,30
298,19,29
299,19,28
300,19,24
301,19,26
302,19,25
303,19,27
304,20,301
305,21,302
306,21,303
307,21,304
308,22,305
309,22,69
310,22,306
311,22,307
312,22,308
313,22,53
314,22,309
315,22,310
316,22,311
317,22,312
318,22,55
319,22,313
320,22,314
321,23,135
322,23,315
323,23,316
324,23,317
325,23,318
326,23,319
327,23,64
328,23,320
329,23,321
330,24,322
331,24,323
332,24,324
333,25,325
334,25,326
335,25,327
336,25,328
337,26,329
338,26,330
339,26,289
340,26,331
341,26,332
342,26,33
343,26,333
344,26,334
345,26,335
346,26,29
347,26,336
348,26,337
349,26,338
350,26,339
351,26,340
352,26,341
353,26,342
354,26,343
355,26,344
356,26,345
357,26,346
358,26,347
359,27,348
360,27,41
361,27,349
362,27,350
363,27,351
364,27,352
365,28,353
366,28,299
367,28,354
368,28,355
369,28,356
370,28,357
371,28,358
372,29,359
373,29,360
374,29,361
375,29,362
376,29,363
377,29,364
378,29,365
379,29,366
380,29,367
381,29,368
382,29,369
383,29,370
384,29,371
385,30,322
386,30,19
387,30,372
388,30,373
389,30,374
390,30,375
391,30,376
392,30,26
393,30,377
394,30,378
395,30,379
396,30,380
397,30,381
398,30,382
399,30,383
400,30,384
401,30,385
402,30,386
403,30,387
404,30,388
405,30,389
406,30,390
407,30,391
408,30,392
409,30,393
410,30,394
411,30,395
412,30,396
413,30,397
414,31,398
415,31,399
416,31,400
417,31,33
418,31,334
419,31,32
420,31,26
421,31,401
422,32,330
423,32,39
424,32,322
425,32,19
426,32,402
427,32,403
428,32,404
429,32,29
430,32,26
431,33,405
432,33,322
433,33,406
434,33,407
435,33,36
436,33,408
437,33,409
438,33,410
439,33,411
440,33,334
441,33,412
442,33,413
443,33,414
444,33,415
445,33,416
446,33,417
447,33,418
448,33,419
449,33,420
450,33,421
451,33,422
452,34,329
453,34,405
454,34,423
455,34,19
456,34,424
457,34,36
458,34,425
459,34,426
460,34,427
461,34,428
462,34,429
463,34,430
464,34,431
465,34,432
466,34,433
467,34,434
468,34,435
469,35,436
470,35,437
471,35,101
472,35,438
473,35,439
474,35,440
475,36,441
476,36,442
477,36,405
478,36,423
479,36,443
480,36,444
481,36,445
482,36,322
483,36,446
484,36,447
485,36,448
486,36,449
487,36,450
488,36,451
489,36,33
490,36,452
491,36,453
492,36,454
493,36,455
494,36,419
495,36,434
496,36,456
497,36,421
498,37,457
499,37,458
500,37,459
501,37,460
