,name,url,keywords
0,intelligent agent,https://en.wikipedia.org/wiki/Intelligent_agent,"['intelligent', 'agents', 'agent', 'autonomous', 'abstract', 'goals', 'considered', 'schematically', 'russell', 'prefer']"
1,chatbot,https://en.wikipedia.org/wiki/Chatbot,"['chatbots', 'apps', 'keywords', 'conversational', 'programs', 'wechat', 'verbot', 'scan', 'mauldin', 'julia']"
2,artificial neural network,https://en.wikipedia.org/wiki/Artificial_neural_network,"['cats', 'cat', 'neurons', 'images', 'biological', 'ann', 'learn', 'example', 'artificial', 'identify']"
3,artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence,"['ai', 'intelligence', 'machines', 'humans', 'considered', 'tesler', 'quip', 'hasn', 'excluded', 'capab']"
4,weak ai,https://en.wikipedia.org/wiki/Weak_AI,"['ai', 'narrow', 'weak', 'minds', 'intelligence', 'problem', 'part', 'hypothesis', 'focused', 'testing']"
5,universal basic income,https://en.wikipedia.org/wiki/Basic_income,"['income', 'basic', 'incomes', 'basis', 'paid', 'citizen', 'individual', 'age', 'universal', 'united']"
6,multi-agent system,https://en.wikipedia.org/wiki/Multi-agent_system,"['agent', 'abm', 'multi', 'mas', 'system', 'solve', 'intelligent', 'agents', 'systems', 'engineering']"
7,mathematical optimization,https://en.wikipedia.org/wiki/Mathematical_optimization,"['optimization', 'function', 'objective', 'mathematics', 'values', 'best', 'types', 'input', 'formulations', 'mathematical']"
8,machine learning,https://en.wikipedia.org/wiki/Machine_learning,"['machine', 'learning', 'task', 'algorithms', 'predictions', 'study', 'perform', 'mathematical', 'data', 'infeasible']"
9,glossary of artificial intelligence,https://en.wikipedia.org/wiki/Glossary_of_artificial_intelligence,"['abductive', 'terms', 'predicates', 'glossaries', 'logic', 'programming', 'wikipedia', 'inference', 'reasoning', 'incompletely']"
10,evolutionary computation,https://en.wikipedia.org/wiki/Evolutionary_computation,"['solutions', 'population', 'computation', 'evolutionary', 'fitness', 'family', 'selection', 'optimization', 'biological', 'subjected']"
11,emergent algorithm,https://en.wikipedia.org/wiki/Emergent_algorithm,"['emergent', 'algorithm', 'fuzzy', 'behaviors', 'global', 'stabilizingother', 'achieves', 'predictable', 'bees', 'obstacles']"
12,citizen science,https://en.wikipedia.org/wiki/Citizen_science,"['citizen', 'science', 'cs', 'scientific', 'participatory', 'irwin', 'crowd', 'alan', 'monitoring', 'research']"
13,case-based reasoning,https://en.wikipedia.org/wiki/Case-based_reasoning,"['reasoning', 'case', 'based', 'problems', 'who', 'past', 'solving', 'solutions', 'nature', 'similar']"
14,business process automation,https://en.wikipedia.org/wiki/Business_process_automation,"['bpa', 'automation', 'business', 'transformation', 'service', 'digital', 'toolsets', 'sophistication', 'sectors', 'deployment']"
15,behavior selection algorithm,https://en.wikipedia.org/wiki/Behavior_selection_algorithm,"['behavioral', 'selection', 'behavior', 'hierarchical', 'modeling', 'selects', 'algorithm', 'trees', 'finite', 'behaviors']"
16,artificial intelligence arms race,https://en.wikipedia.org/wiki/Artificial_intelligence_arms_race,"['russia', 'ai', 'russian', 'military', 'mid', 'race', 'arms', 'intelligence', 'artificial', 'stated']"
17,abductive reasoning,https://en.wikipedia.org/wiki/Abductive_reasoning,"['abduction', 'abductive', 'inference', 'explanation', 'reasoning', 'best', 'deductive', 'observations', 'likely', 'terms']"
18,time delay neural network,https://en.wikipedia.org/wiki/Time_delay_neural_network,"['tdnn', 'classification', 'shift', 'layer', 'unit', 'invariance', 'coordinate', 'avoids', 'receives', 'segmentation']"
19,data visualization,https://en.wikipedia.org/wiki/Data_visualization,"['data', 'visualization', 'graphic', 'communicate', 'visually', 'mapping', 'graphics', 'images', 'represented', 'values']"
20,tensor product network,https://en.wikipedia.org/wiki/Tensor_product_network,"['network', 'tensor', 'vectors', 'variable', 'product', 'properties', 'orthonormal', 'assignments', 'assignment', 'neural']"
21,systolic array,https://en.wikipedia.org/wiki/Systolic_array,"['systolic', 'arrays', 'flynn', 'misd', 'parallel', 'architectures', 'data', 'linear', 'result', 'upstream']"
