source	target	depth
chatbot	applications of artificial intelligence	1
chatbot	eugene goostman	1
chatbot	interactive online characters	1
chatbot	internet bot	1
chatbot	social bot	1
chatbot	software bot	1
chatbot	twitterbot	1
chatbot	jjaibot	1
artificial neural network	hierarchical temporal memory	1
artificial neural network	20q	1
artificial neural network	adaline	1
artificial neural network	adaptive resonance theory	1
artificial neural network	artificial life	1
artificial neural network	associative memory base	1
artificial neural network	autoencoder	1
artificial neural network	beam robotics	1
artificial neural network	biological cybernetics	1
artificial neural network	biologically inspired computing	1
artificial neural network	blue brain project	1
artificial neural network	catastrophic interference	1
artificial neural network	cerebellar model articulation controller	1
artificial neural network	cognitive architecture	1
artificial neural network	cognitive science	1
artificial neural network	convolutional neural network	1
artificial neural network	connectionist expert system	1
artificial neural network	connectomics	1
artificial neural network	cultured neuronal networks	1
artificial neural network	deep learning	1
artificial neural network	encog	1
artificial neural network	fuzzy logic	1
artificial neural network	gene expression programming	1
artificial neural network	genetic algorithm	1
artificial neural network	genetic programming	1
artificial neural network	group method of data handling	1
artificial neural network	habituation	1
artificial neural network	in situ adaptive tabulation	1
artificial neural network	models of neural computation	1
artificial neural network	neuroevolution	1
artificial neural network	neural coding	1
artificial neural network	neural gas	1
artificial neural network	neural machine translation	1
artificial neural network	neural network software	1
artificial neural network	neuroscience	1
artificial neural network	nonlinear system identification	1
artificial neural network	optical neural network	1
artificial neural network	parallel constraint satisfaction processes	1
artificial neural network	parallel distributed processing	1
artificial neural network	radial basis function network	1
artificial neural network	recurrent neural networks	1
artificial neural network	self-organizing map	1
artificial neural network	spiking neural network	1
artificial neural network	systolic array	1
artificial neural network	tensor product network	1
artificial neural network	time delay neural network	1
artificial intelligence	abductive reasoning	1
artificial intelligence	a.i. rising	1
artificial intelligence	artificial intelligence arms race	1
artificial intelligence	behavior selection algorithm	1
artificial intelligence	business process automation	1
artificial intelligence	case-based reasoning	1
artificial intelligence	citizen science	1
artificial intelligence	commonsense reasoning	1
artificial intelligence	emergent algorithm	1
artificial intelligence	evolutionary computation	1
artificial intelligence	glossary of artificial intelligence	1
artificial intelligence	machine learning	1
artificial intelligence	mathematical optimization	1
artificial intelligence	multi-agent system	1
artificial intelligence	personality computing	1
artificial intelligence	robotic process automation	1
artificial intelligence	soft computing	1
artificial intelligence	universal basic income	1
artificial intelligence	weak ai	1
natural language processing	1 the road	1
natural language processing	automated essay scoring	1
natural language processing	biomedical text mining	1
natural language processing	compound term processing	1
natural language processing	computational linguistics	1
natural language processing	computer-assisted reviewing	1
natural language processing	controlled natural language	1
natural language processing	deep learning	1
natural language processing	deep linguistic processing	1
natural language processing	distributional semantics	1
natural language processing	foreign language reading aid	1
natural language processing	foreign language writing aid	1
natural language processing	information extraction	1
natural language processing	information retrieval	1
natural language processing	language and communication technologies	1
natural language processing	language technology	1
natural language processing	latent semantic indexing	1
natural language processing	native-language identification	1
natural language processing	natural language programming	1
natural language processing	natural language user interface	1
natural language processing	query expansion	1
natural language processing	reification (linguistics)	1
natural language processing	speech processing	1
natural language processing	spoken dialogue system	1
natural language processing	text-proofing	1
natural language processing	text simplification	1
natural language processing	transformer (machine learning model)	1
natural language processing	truecasing	1
natural language processing	question answering	1
natural language processing	word2vec	1
machine learning	automated machine learning	1
machine learning	big data	1
machine learning	explanation-based learning	1
machine learning	predictive analytics	1
machine learning	quantum machine learning	1
machine learning	machine learning in bioinformatics	1
quantum machine learning	quantum computing	2
quantum machine learning	quantum algorithm for linear systems of equations	2
quantum machine learning	quantum annealing	2
quantum machine learning	quantum neural network	2
quantum machine learning	quantum image	2
predictive analytics	actuarial science	2
predictive analytics	algorithmic trading	2
predictive analytics	computational sociology	2
predictive analytics	criminal reduction utilising statistical history	2
predictive analytics	disease surveillance	2
predictive analytics	learning analytics	2
predictive analytics	odds algorithm	2
predictive analytics	pattern recognition	2
predictive analytics	predictive inference	2
predictive analytics	predictive policing	2
predictive analytics	social media analytics	2
explanation-based learning	one-shot learning	2
big data	big data ethics	2
big data	big data maturity model	2
big data	big memory	2
big data	data curation	2
big data	data defined storage	2
big data	data lineage	2
big data	data philanthropy	2
big data	data science	2
big data	datafication	2
big data	in-memory processing	2
big data	urban informatics	2
big data	very large database	2
big data	xldb	2
big data	data analysis	2
automated machine learning	neural architecture search	2
automated machine learning	hyperparameter optimization	2
automated machine learning	model selection	2
automated machine learning	neuroevolution	2
automated machine learning	self-tuning	2
neuroevolution	automated machine learning	3
neuroevolution	evolutionary computation	3
neuroevolution	covariance matrix adaptation with hypervolume sorted adaptive grid algorithm	3
neuroevolution	neuroevolution of augmented topologies	3
neuroevolution	noogenesis	3
neuroevolution	hyperneat	3
neuroevolution	es-hyperneat	3
neuroevolution	evolutionary acquisition of neural topologies	3
neuroevolution	spectrum-diverse unified neuroevolution architecture	3
model selection	all models are wrong	3
model selection	analysis of competing hypotheses	3
model selection	automated machine learning	3
model selection	bias-variance dilemma	3
model selection	feature selection	3
model selection	freedman's paradox	3
model selection	grid search	3
model selection	identifiability analysis	3
model selection	log-linear analysis	3
model selection	model identification	3
model selection	occam's razor	3
model selection	optimal design	3
model selection	parameter identification problem	3
model selection	scientific modelling	3
model selection	statistical model validation	3
model selection	stein's example	3
hyperparameter optimization	automated machine learning	3
hyperparameter optimization	neural architecture search	3
hyperparameter optimization	meta-optimization	3
hyperparameter optimization	model selection	3
hyperparameter optimization	self-tuning	3
hyperparameter optimization	xgboost	3
data analysis	actuarial science	3
data analysis	analytics	3
data analysis	big data	3
data analysis	business intelligence	3
data analysis	censoring (statistics)	3
data analysis	computational physics	3
data analysis	data acquisition	3
data analysis	data blending	3
data analysis	data governance	3
data analysis	data mining	3
data analysis	data presentation architecture	3
data analysis	data science	3
data analysis	digital signal processing	3
data analysis	dimension reduction	3
data analysis	early case assessment	3
data analysis	exploratory data analysis	3
data analysis	fourier analysis	3
data analysis	machine learning	3
data analysis	multilinear principal component analysis	3
data analysis	multilinear subspace learning	3
data analysis	multiway data analysis	3
data analysis	nearest neighbor search	3
data analysis	nonlinear system identification	3
data analysis	predictive analytics	3
data analysis	principal component analysis	3
data analysis	qualitative research	3
data analysis	scientific computing	3
data analysis	structured data analysis (statistics)	3
data analysis	system identification	3
data analysis	test method	3
data analysis	text analytics	3
data analysis	unstructured data	3
data analysis	wavelet	3
xldb	international conference on very large data bases	3
very large database	xldb	3
in-memory processing	system on a chip	3
in-memory processing	network on a chip	3
urban informatics	communicative ecology	3
urban informatics	e-government	3
urban informatics	location-based service	3
urban informatics	locative media	3
urban informatics	placemaking	3
datafication	data science	3
datafication	digitization	3
datafication	digitalization	3
datafication	digital transformation	3
datafication	big data	3
datafication	ethics of artificial intelligence	3
datafication	big data ethics	3
datafication	machine learning	3
datafication	mass surveillance	3
data philanthropy	big data	3
data lineage	directed acyclic graph	3
data curation	biocurator	3
data curation	data archaeology	3
data curation	data degradation	3
data curation	data format management	3
data curation	data preservation	3
data curation	data stewardship	3
data curation	data wrangling	3
data curation	digital curation	3
data curation	digital preservation	3
data curation	informationist	3
data defined storage	big data analytics	3
data defined storage	block storage	3
data defined storage	cloud storage	3
data defined storage	content-addressable storage	3
data defined storage	enterprise search	3
data defined storage	information governance	3
data defined storage	metadata management	3
data defined storage	object storage device	3
data defined storage	scale out	3
data defined storage	software defined storage	3
big data maturity model	big data	3
big data maturity model	analytics	3
big data maturity model	maturity model	3
big data maturity model	data management	3
big data maturity model	capability maturity model	3
big data ethics	open knowledge international	3
one-shot learning	variational bayesian methods	3
one-shot learning	variational message passing	3
one-shot learning	expectation-maximization algorithm	3
one-shot learning	bayesian inference	3
one-shot learning	feature detection (computer vision)	3
one-shot learning	association rule learning	3
one-shot learning	hopfield network	3
one-shot learning	hands on one-shot learning book	3
social media analytics	social media measurement	3
social media analytics	sentiment analysis	3
social media analytics	data mining	3
social media analytics	social media mining	3
social media analytics	social network analysis	3
predictive policing	carding (police policy)	3
predictive policing	crime analysis	3
predictive policing	jurimetrics	3
predictive policing	the minority report	3
predictive policing	pre-crime	3
predictive inference	prediction interval	3
predictive inference	predictive analytics	3
predictive inference	predictive modelling	3
pattern recognition	adaptive resonance theory	3
pattern recognition	black box	3
pattern recognition	cache language model	3
pattern recognition	compound term processing	3
pattern recognition	computer-aided diagnosis	3
pattern recognition	data mining	3
pattern recognition	deep learning	3
pattern recognition	information theory	3
pattern recognition	machine learning	3
pattern recognition	multilinear subspace learning	3
pattern recognition	neocognitron	3
pattern recognition	perception	3
pattern recognition	perceptual learning	3
pattern recognition	predictive analytics	3
pattern recognition	prior knowledge for pattern recognition	3
pattern recognition	sequence mining	3
pattern recognition	template matching	3
pattern recognition	contextual image classification	3
learning analytics	analytics	3
learning analytics	big data	3
learning analytics	data mining	3
learning analytics	educational data mining	3
learning analytics	educational technology	3
learning analytics	machine learning	3
learning analytics	odds algorithm	3
learning analytics	pattern recognition	3
learning analytics	predictive analytics	3
learning analytics	social network analysis	3
learning analytics	text analytics	3
learning analytics	web analytics	3
odds algorithm	odds	3
odds algorithm	clinical trial	3
odds algorithm	expanded access	3
odds algorithm	secretary problem	3
criminal reduction utilising statistical history	crime mapping	3
disease surveillance	1985 world health organization aids surveillance case definition	3
disease surveillance	aids defining clinical condition	3
disease surveillance	clinical surveillance	3
disease surveillance	computer virus	3
disease surveillance	council of state and territorial epidemiologists	3
disease surveillance	ewrs	3
disease surveillance	gideon-global infectious disease epidemiology network	3
disease surveillance	infection control	3
disease surveillance	std testing	3
disease surveillance	uk statutory notification system	3
computational sociology	artificial society	3
computational sociology	simulated reality	3
computational sociology	social simulation	3
computational sociology	agent-based social simulation	3
computational sociology	social complexity	3
computational sociology	computational economics	3
computational sociology	computational epidemiology	3
computational sociology	cliodynamics	3
computational sociology	predictive analytics	3
actuarial science	actuarial control cycle	3
actuarial science	actuarial exam	3
actuarial science	black swan theory	3
actuarial science	data mining	3
actuarial science	scenario optimization	3
actuarial science	ruin theory	3
quantum neural network	optical neural network	3
quantum neural network	holographic associative memory	3
